continent,sector,market_cap,probability,lower,upper
Africa,Communication Services,Large Cap,0.0002441604948319362,0.00013564471935107567,0.00037980521418301186
Africa,Communication Services,Mid Cap,8.13868316106454e-05,2.7128943870215132e-05,0.00014920919128618324
Africa,Communication Services,Small Cap,4.06934158053227e-05,0.0,9.495130354575297e-05
Africa,Consumer Discretionary,Micro Cap,6.782235967553784e-05,1.3564471935107566e-05,0.00013564471935107567
Africa,Consumer Discretionary,Mid Cap,0.00013564471935107567,5.4257887740430265e-05,0.00021703155096172106
Africa,Consumer Discretionary,Small Cap,0.0001627736632212908,6.782235967553784e-05,0.0002577249667670438
Africa,Consumer Staples,Micro Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Africa,Consumer Staples,Mid Cap,0.00014920919128618324,6.782235967553784e-05,0.0002441604948319362
Africa,Consumer Staples,Nano Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Africa,Consumer Staples,Small Cap,6.782235967553784e-05,1.3564471935107566e-05,0.00013564471935107567
Africa,Energy,Large Cap,6.782235967553784e-05,1.3564471935107566e-05,0.00013564471935107567
Africa,Energy,Mid Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Africa,Energy,Nano Cap,5.4257887740430265e-05,1.3564471935107566e-05,0.0001220802474159681
Africa,Energy,Small Cap,5.4257887740430265e-05,1.3564471935107566e-05,0.0001220802474159681
Africa,Financials,Large Cap,0.0002441604948319362,0.00013564471935107567,0.00035267627031279673
Africa,Financials,Micro Cap,4.06934158053227e-05,0.0,9.495130354575297e-05
Africa,Financials,Mid Cap,0.0002984183825723665,0.00017633813515639837,0.00042049862998833456
Africa,Financials,Nano Cap,1.3564471935107566e-05,0.0,5.4257887740430265e-05
Africa,Financials,Small Cap,6.782235967553784e-05,1.3564471935107566e-05,0.00013564471935107567
Africa,Health Care,Mid Cap,0.00010851577548086053,4.06934158053227e-05,0.00018990260709150593
Africa,Health Care,Nano Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Africa,Health Care,Small Cap,9.495130354575297e-05,2.7128943870215132e-05,0.0001627736632212908
Africa,Industrials,Micro Cap,9.495130354575297e-05,2.7128943870215132e-05,0.00017633813515639837
Africa,Industrials,Mid Cap,5.4257887740430265e-05,1.3564471935107566e-05,0.00010851577548086053
Africa,Industrials,Nano Cap,2.7128943870215132e-05,0.0,6.782235967553784e-05
Africa,Industrials,Small Cap,0.00018990260709150593,9.495130354575297e-05,0.0002851930224356363
Africa,Information Technology,Micro Cap,4.06934158053227e-05,0.0,9.495130354575297e-05
Africa,Information Technology,Small Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Africa,Materials,Large Cap,0.0002984183825723665,0.00018990260709150593,0.0004340631019234421
Africa,Materials,Micro Cap,5.4257887740430265e-05,1.3564471935107566e-05,0.00010851577548086053
Africa,Materials,Mid Cap,0.0002848539106372589,0.0001627736632212908,0.00042049862998833456
Africa,Materials,Nano Cap,0.00014920919128618324,6.782235967553784e-05,0.0002441604948319362
Africa,Materials,Small Cap,0.00042049862998833456,0.00027128943870215135,0.0005697078212745178
Africa,Real Estate,Mid Cap,2.7128943870215132e-05,0.0,6.782235967553784e-05
Asia,Communication Services,Large Cap,0.0016684300480182307,0.0013835761373809717,0.0019532839586554897
Asia,Communication Services,Mega Cap,0.0001220802474159681,5.4257887740430265e-05,0.00021703155096172106
Asia,Communication Services,Micro Cap,0.004191421827948238,0.0037302297821545805,0.004652952985540273
Asia,Communication Services,Mid Cap,0.0023737825886438243,0.002034670790266135,0.0027128943870215133
Asia,Communication Services,Nano Cap,0.0035538916469981825,0.003106264073139633,0.0039608258050514095
Asia,Communication Services,Small Cap,0.0038658745015056565,0.0034318113995822144,0.0042999376034290986
Asia,Consumer Discretionary,Large Cap,0.0035810205908683975,0.0031469574889449554,0.0040015192208567325
Asia,Consumer Discretionary,Mega Cap,0.0003662407422479043,0.0002441604948319362,0.0005154499335340876
Asia,Consumer Discretionary,Micro Cap,0.014242695531862944,0.013388133799951168,0.0150975963755731
Asia,Consumer Discretionary,Mid Cap,0.004896774368573832,0.0044216787390466885,0.005439353245978134
Asia,Consumer Discretionary,Nano Cap,0.013754374542199072,0.012913377282222404,0.014622839857844334
Asia,Consumer Discretionary,Small Cap,0.01226228262933724,0.011529801144841431,0.013062586473508586
Asia,Consumer Staples,Large Cap,0.0017905102954341987,0.0014917528010634546,0.0021024931499416728
Asia,Consumer Staples,Mega Cap,2.7128943870215132e-05,0.0,6.782235967553784e-05
Asia,Consumer Staples,Micro Cap,0.006239657090149481,0.0056963999891484225,0.006822929383359106
Asia,Consumer Staples,Mid Cap,0.00301131276959388,0.00263116844361249,0.0033914570955752687
Asia,Consumer Staples,Nano Cap,0.006782235967553783,0.006212528146279266,0.007419766148503839
Asia,Consumer Staples,Small Cap,0.005615691381134533,0.005086676975665338,0.006144705786603728
Asia,Energy,Large Cap,0.0006782235967553783,0.0005018854615989799,0.0008684653156452616
Asia,Energy,Mega Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Asia,Energy,Micro Cap,0.0013293182496405414,0.0010715932828734977,0.0016141721602778005
Asia,Energy,Mid Cap,0.000596836765144733,0.0004340631019234421,0.0008003038441713464
Asia,Energy,Nano Cap,0.001437834025121402,0.0011665445864192507,0.0017230270475570384
Asia,Energy,Small Cap,0.0012343669460947884,0.0009766419793277449,0.0014920919128618322
Asia,Financials,Large Cap,0.0032419087924907084,0.0028621035783076964,0.0036491820623423127
Asia,Financials,Mega Cap,9.495130354575297e-05,4.035430400694503e-05,0.0001627736632212908
Asia,Financials,Micro Cap,0.00557499796532921,0.005072773391931852,0.006090447898863297
Asia,Financials,Mid Cap,0.0036488429505439355,0.0032147798486204934,0.0040829060524673775
Asia,Financials,Nano Cap,0.00942730799489976,0.008775874230216217,0.010105531591655137
Asia,Financials,Small Cap,0.006117576842733513,0.005547869021458995,0.006714413607878245
Asia,Health Care,Large Cap,0.002346653644773609,0.0019804129025257047,0.0026857654431512983
Asia,Health Care,Micro Cap,0.005886980819836684,0.005344401942432381,0.006429559697240987
Asia,Health Care,Mid Cap,0.003689536366349258,0.0032822630964976533,0.004137842163804562
Asia,Health Care,Nano Cap,0.004720436233417433,0.0042728086595588835,0.005182306502807845
Asia,Health Care,Small Cap,0.007365508260763409,0.006768671495618676,0.007975909497843249
Asia,Industrials,Large Cap,0.003282602208296031,0.0028753289384444262,0.0037034399500827427
Asia,Industrials,Mega Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Asia,Industrials,Micro Cap,0.01855619760722715,0.017593120099834512,0.019546404058490004
Asia,Industrials,Mid Cap,0.007880958194297495,0.00720239548574374,0.008504923903312443
Asia,Industrials,Nano Cap,0.018271343696589892,0.017362524076937686,0.01930224356365807
Asia,Industrials,Small Cap,0.019641355362035755,0.018677938742844742,0.02067225522910393
Asia,Information Technology,Large Cap,0.0033368600960364614,0.0029295868261848567,0.003784487669895011
Asia,Information Technology,Mega Cap,0.00017633813515639837,9.495130354575297e-05,0.0002848539106372589
Asia,Information Technology,Micro Cap,0.01337456932801606,0.012560701011909606,0.014202002116057622
Asia,Information Technology,Mid Cap,0.005480046661783457,0.004923903312444047,0.00602262553918776
Asia,Information Technology,Nano Cap,0.010390385502292395,0.009671129377933317,0.01114999593065842
Asia,Information Technology,Small Cap,0.012248718157402132,0.011475543257101001,0.01309005452917718
Asia,Materials,Large Cap,0.002482298364124685,0.002129622093811888,0.002821410162502374
Asia,Materials,Micro Cap,0.010295434198746643,0.009603646130056157,0.011027915683242451
Asia,Materials,Mid Cap,0.004991725672119585,0.0045576625701961426,0.005561433493394102
Asia,Materials,Nano Cap,0.010458207861967933,0.00976608068147907,0.01114999593065842
Asia,Materials,Small Cap,0.010973657795502021,0.01026796614307805,0.011733268223868045
Asia,Real Estate,Large Cap,0.0012072380022245734,0.0009630775073926372,0.0014649629689916172
Asia,Real Estate,Micro Cap,0.004706871761482326,0.004232115243753561,0.005181628279211091
Asia,Real Estate,Mid Cap,0.0025229917799300073,0.0021703155096172108,0.0029027969941130194
Asia,Real Estate,Nano Cap,0.003974390276986517,0.003553552535199805,0.004408453378909959
Asia,Real Estate,Small Cap,0.005140934863405768,0.0046387102900084095,0.005656723908738232
Asia,Utilities,Large Cap,0.0006239657090149481,0.0004476275738585497,0.000813868316106454
Asia,Utilities,Micro Cap,0.001125851170613928,0.000908819619652207,0.0013700116654458642
Asia,Utilities,Mid Cap,0.0015599142725373702,0.0013154146659070563,0.001844768183174629
Asia,Utilities,Nano Cap,0.0005561433493394102,0.000406934158053227,0.0007324814844958086
Asia,Utilities,Small Cap,0.002224573397357641,0.0018986869591166816,0.0025908141396055453
Europe,Communication Services,Large Cap,0.0029570548818534494,0.0025501207238002224,0.0033371992078348386
Europe,Communication Services,Micro Cap,0.0019668484305905972,0.0016684300480182307,0.0022791703968964485
Europe,Communication Services,Mid Cap,0.0034860692873226445,0.00306557065733431,0.0039065679173109795
Europe,Communication Services,Nano Cap,0.0025501207238002224,0.0021974444534874258,0.002916361466048127
Europe,Communication Services,Small Cap,0.0018583326551097365,0.0015463498006022625,0.0021838799815523183
Europe,Consumer Discretionary,Large Cap,0.005235886166951521,0.004679742817612111,0.005764900572420716
Europe,Consumer Discretionary,Mega Cap,0.0001220802474159681,4.06934158053227e-05,0.0002034670790266135
Europe,Consumer Discretionary,Micro Cap,0.0039201323892460865,0.0034721657035891593,0.004381324435039744
Europe,Consumer Discretionary,Mid Cap,0.004856080952768509,0.0043406310192344215,0.005371530886302597
Europe,Consumer Discretionary,Nano Cap,0.0031198285450747404,0.0027128943870215133,0.003540327175063075
Europe,Consumer Discretionary,Small Cap,0.004910338840508939,0.004422017850845067,0.005398659830172812
Europe,Consumer Staples,Large Cap,0.003757358726024796,0.003323295624101354,0.0042456797156886685
Europe,Consumer Staples,Mega Cap,0.00021703155096172106,0.0001220802474159681,0.00033911179837768917
Europe,Consumer Staples,Micro Cap,0.001722687935758661,0.001437834025121402,0.0020482352622012423
Europe,Consumer Staples,Mid Cap,0.0018583326551097365,0.0015599142725373702,0.0021842190933506955
Europe,Consumer Staples,Nano Cap,0.0011801090583543582,0.0009356094517240445,0.001437834025121402
Europe,Consumer Staples,Small Cap,0.002875668050242804,0.0024958628360597923,0.0032693768481593007
Europe,Energy,Large Cap,0.002292395757033179,0.0019532839586554897,0.0026182821952741376
Europe,Energy,Mega Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Europe,Energy,Micro Cap,0.001939719486720382,0.0016409619923496378,0.0022788312850980713
Europe,Energy,Mid Cap,0.0013835761373809717,0.001125851170613928,0.0016684300480182307
Europe,Energy,Nano Cap,0.0013971406093160794,0.0010987222267437129,0.0016687691598166081
Europe,Energy,Small Cap,0.0018583326551097365,0.0015463498006022625,0.0021431865657469953
Europe,Financials,Large Cap,0.007419766148503839,0.006822590271560728,0.008070860801389001
Europe,Financials,Mega Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
Europe,Financials,Micro Cap,0.002848539106372589,0.002482298364124685,0.0032419087924907084
Europe,Financials,Mid Cap,0.004598355986001465,0.0041235994682727005,0.005100580559398822
Europe,Financials,Nano Cap,0.002875668050242804,0.0025094273079949,0.003282602208296031
Europe,Financials,Small Cap,0.004801823065028079,0.0042999376034290986,0.005276918694555221
Europe,Health Care,Large Cap,0.004232115243753561,0.003797713030031741,0.004666178345677003
Europe,Health Care,Mega Cap,0.00027128943870215135,0.00014920919128618324,0.000406934158053227
Europe,Health Care,Micro Cap,0.006877187271099536,0.006280350505954803,0.007460798676107538
Europe,Health Care,Mid Cap,0.00362171400667372,0.003200876264887008,0.004069680692330647
Europe,Health Care,Nano Cap,0.004503404682455712,0.0040286481647269475,0.004991725672119585
Europe,Health Care,Small Cap,0.005805593988226039,0.005249450638886628,0.006375301809500556
Europe,Industrials,Large Cap,0.007514717452049592,0.006890412631236266,0.008152247632999647
Europe,Industrials,Mega Cap,9.495130354575297e-05,2.7128943870215132e-05,0.00017633813515639837
Europe,Industrials,Micro Cap,0.006307479449825018,0.005724207156615393,0.006890751743034644
Europe,Industrials,Mid Cap,0.00908819619652207,0.008396408127831583,0.009726065489270503
Europe,Industrials,Nano Cap,0.0045305336263259275,0.0040557771085971625,0.005032758199723284
Europe,Industrials,Small Cap,0.010010580288109383,0.009318792219418897,0.010729836412468463
Europe,Information Technology,Large Cap,0.0025229917799300073,0.0021703155096172108,0.002875668050242804
Europe,Information Technology,Mega Cap,0.0001627736632212908,8.13868316106454e-05,0.00025806407856542116
Europe,Information Technology,Micro Cap,0.006117576842733513,0.005574319741732454,0.006660494831936192
Europe,Information Technology,Mid Cap,0.0037709231979599035,0.003309731152166246,0.0042456797156886685
Europe,Information Technology,Nano Cap,0.004828952008898294,0.004381324435039744,0.005331176582295651
Europe,Information Technology,Small Cap,0.00512737039147066,0.00457122704213125,0.005656384796939855
Europe,Materials,Large Cap,0.004544098098261035,0.0040422126366620546,0.005059548031795123
Europe,Materials,Micro Cap,0.0034182469276471065,0.0030245381297306097,0.0038255201974987108
Europe,Materials,Mid Cap,0.003323295624101354,0.0029299259379832344,0.0037302297821545805
Europe,Materials,Nano Cap,0.00150565638479694,0.001220802474159681,0.0017905102954341987
Europe,Materials,Small Cap,0.0030520061853992024,0.002658636499281083,0.003445375871517322
Europe,Real Estate,Large Cap,0.0008681262038468842,0.0006778844849570007,0.0010851577548086054
Europe,Real Estate,Micro Cap,0.0018312037112395215,0.0015463498006022625,0.0021431865657469953
Europe,Real Estate,Mid Cap,0.0024958628360597923,0.002129622093811888,0.002848878218170966
Europe,Real Estate,Nano Cap,0.001627736632212908,0.0013564471935107567,0.001939719486720382
Europe,Real Estate,Small Cap,0.0028349746344374814,0.0024551694202544693,0.0032012153766853855
Europe,Utilities,Large Cap,0.002604378611540653,0.002251702341227856,0.002970619353788557
Europe,Utilities,Micro Cap,0.0010987222267437129,0.0008816906757819919,0.0013564471935107567
Europe,Utilities,Mid Cap,0.0023737825886438243,0.0020211063183310273,0.002753587802826836
Europe,Utilities,Nano Cap,0.0006917880686904858,0.0005018854615989799,0.0008952551477170994
Europe,Utilities,Small Cap,0.0011122866986788204,0.0008816906757819919,0.0013700116654458642
North America,Communication Services,Large Cap,0.002726458858956621,0.0023330891728385013,0.003092699601204525
North America,Communication Services,Mega Cap,0.0012343669460947884,0.0009766419793277449,0.0014649629689916172
North America,Communication Services,Micro Cap,0.0018040747673693062,0.0014920919128618322,0.0021163967336751575
North America,Communication Services,Mid Cap,0.0017091234638235532,0.0013968014975177018,0.0020075418463959198
North America,Communication Services,Nano Cap,0.006063318954993082,0.005466482189848349,0.006660155720137815
North America,Communication Services,Small Cap,0.0024551694202544693,0.0021160576218767803,0.0028081848023656436
North America,Consumer Discretionary,Large Cap,0.011719703751932938,0.010905835435826483,0.0125471365399745
North America,Consumer Discretionary,Mega Cap,0.0006104012370798405,0.00044728846206017203,0.0007867393722362389
North America,Consumer Discretionary,Micro Cap,0.002943490409918342,0.0025769105558720597,0.0033371992078348386
North America,Consumer Discretionary,Mid Cap,0.005371530886302597,0.004896774368573832,0.005860190987764846
North America,Consumer Discretionary,Nano Cap,0.006795800439488891,0.006266446922221318,0.007419766148503839
North America,Consumer Discretionary,Small Cap,0.0045305336263259275,0.0040422126366620546,0.0050188546159898
North America,Consumer Staples,Large Cap,0.0037437942540896885,0.0033368600960364614,0.004178196467811508
North America,Consumer Staples,Mega Cap,0.0005290144054691951,0.0003662407422479043,0.0007053525406255935
North America,Consumer Staples,Micro Cap,0.002129622093811888,0.001817639239304414,0.002441604948319362
North America,Consumer Staples,Mid Cap,0.0017633813515639837,0.0014785274409267247,0.002075703317869835
North America,Consumer Staples,Nano Cap,0.005154499335340875,0.0046522747619435175,0.005683513740810071
North America,Consumer Staples,Small Cap,0.0018990260709150593,0.0016006076883426927,0.002224912509156018
North America,Energy,Large Cap,0.0025772496676704374,0.0022110089254225333,0.0029570548818534494
North America,Energy,Mega Cap,0.0002577249667670438,0.00014920919128618324,0.00037980521418301186
North America,Energy,Micro Cap,0.0031198285450747404,0.002712216163424758,0.003540327175063075
North America,Energy,Mid Cap,0.002414476004449147,0.0020482352622012423,0.002753587802826836
North America,Energy,Nano Cap,0.008721955454274165,0.007962345025908141,0.009386953690892813
North America,Energy,Small Cap,0.00457122704213125,0.0041096958845392145,0.005073451615528607
North America,Financials,Large Cap,0.007894522666232603,0.00725665337348417,0.008532391958981037
North America,Financials,Mega Cap,0.0013021893057703264,0.0010576896991400125,0.0015602533843357476
North America,Financials,Micro Cap,0.018569762079162257,0.01756565204416592,0.019465356338677735
North America,Financials,Mid Cap,0.007351943788828301,0.006782235967553783,0.007948780553973033
North America,Financials,Nano Cap,0.03053362632592713,0.02931282385176745,0.03184971921543094
North America,Financials,Small Cap,0.04005588562437264,0.038699099319063505,0.04135841404194135
North America,Health Care,Large Cap,0.006212528146279266,0.005656045685141477,0.006836493855294213
North America,Health Care,Mega Cap,0.0008409972599766691,0.0006375301809500556,0.0010715932828734977
North America,Health Care,Micro Cap,0.013862890317679932,0.013021893057703264,0.01470422668945498
North America,Health Care,Mid Cap,0.005439353245978134,0.004910338840508939,0.005955142291310599
North America,Health Care,Nano Cap,0.02346653644773609,0.022448861940804643,0.024497436314804263
North America,Health Care,Small Cap,0.010512465749708363,0.009833903041154607,0.011218157402132336
North America,Industrials,Large Cap,0.00774531347494642,0.00708065435012615,0.008396408127831583
North America,Industrials,Mega Cap,4.06934158053227e-05,0.0,9.495130354575297e-05
North America,Industrials,Micro Cap,0.0041778573560131305,0.003716665310219473,0.004652952985540273
North America,Industrials,Mid Cap,0.006443124169176094,0.005900206179973414,0.007067428989989419
North America,Industrials,Nano Cap,0.010173353951330675,0.009521920186647133,0.01091973901955997
North America,Industrials,Small Cap,0.006321043921760126,0.005764900572420716,0.006877526382897913
North America,Information Technology,Large Cap,0.008084425273324109,0.007446895092374054,0.008776213342014595
North America,Information Technology,Mega Cap,0.0013564471935107567,0.0010987222267437129,0.001627736632212908
North America,Information Technology,Micro Cap,0.005276579582756844,0.004760451425626,0.005764900572420716
North America,Information Technology,Mid Cap,0.006850058327229321,0.006307479449825018,0.007460459564309161
North America,Information Technology,Nano Cap,0.01477170993733214,0.013917148205420364,0.015640175252977402
North America,Information Technology,Small Cap,0.005656384796939855,0.0051134668077371746,0.006185738314207427
North America,Materials,Large Cap,0.002848539106372589,0.002482298364124685,0.0032690377363609234
North America,Materials,Micro Cap,0.013130408833184124,0.012357233932882994,0.0139849705650959
North America,Materials,Mid Cap,0.0040150836927918395,0.00358068147907002,0.004476275738585497
North America,Materials,Nano Cap,0.039879547489216245,0.03838711646455603,0.04126312362659722
North America,Materials,Small Cap,0.007121347765931472,0.006551639944656955,0.00774531347494642
North America,Real Estate,Large Cap,0.0025772496676704374,0.0022106698136241556,0.0029570548818534494
North America,Real Estate,Micro Cap,0.001532785328667155,0.0012614958899650037,0.0018044138791676837
North America,Real Estate,Mid Cap,0.003662407422479043,0.0032415696806923308,0.00406934158053227
North America,Real Estate,Nano Cap,0.0021703155096172108,0.0018444290713762513,0.0025233308917283846
North America,Real Estate,Small Cap,0.0039336968611811945,0.0034860692873226445,0.004368099074903014
North America,Utilities,Large Cap,0.002631507555410868,0.002264927701364586,0.0029845229375220416
North America,Utilities,Mega Cap,1.3564471935107566e-05,0.0,4.06934158053227e-05
North America,Utilities,Micro Cap,0.0007324814844958086,0.0005425788774043027,0.0009223840915873145
North America,Utilities,Mid Cap,0.0021431865657469953,0.001817639239304414,0.002482298364124685
North America,Utilities,Nano Cap,0.0009359485635224221,0.0007324814844958086,0.0011665445864192507
North America,Utilities,Small Cap,0.0005697078212745178,0.000406934158053227,0.0007596104283660237
Oceania,Communication Services,Large Cap,0.00014920919128618324,6.782235967553784e-05,0.0002441604948319362
Oceania,Communication Services,Micro Cap,0.0002984183825723665,0.00018990260709150593,0.0004340631019234421
Oceania,Communication Services,Mid Cap,0.0002984183825723665,0.00017633813515639837,0.00042049862998833456
Oceania,Communication Services,Nano Cap,0.00033911179837768917,0.00023059602289682862,0.0004747565177287648
Oceania,Communication Services,Small Cap,0.0002441604948319362,0.00013564471935107567,0.0003662407422479043
Oceania,Consumer Discretionary,Large Cap,5.4257887740430265e-05,1.3564471935107566e-05,0.00010851577548086053
Oceania,Consumer Discretionary,Micro Cap,0.0006917880686904858,0.0005018854615989799,0.0008952551477170994
Oceania,Consumer Discretionary,Mid Cap,0.0005154499335340876,0.00035267627031279673,0.0006782235967553783
Oceania,Consumer Discretionary,Nano Cap,0.00046119204579365725,0.00031198285450747404,0.0006375301809500556
Oceania,Consumer Discretionary,Small Cap,0.0008545617319117766,0.0006510946528851632,0.0010715932828734977
Oceania,Consumer Staples,Large Cap,8.13868316106454e-05,2.7128943870215132e-05,0.00014954830308456062
Oceania,Consumer Staples,Micro Cap,0.000596836765144733,0.00042049862998833456,0.0007867393722362389
Oceania,Consumer Staples,Mid Cap,0.0002441604948319362,0.00013564471935107567,0.0003662407422479043
Oceania,Consumer Staples,Nano Cap,0.0007324814844958086,0.0005425788774043027,0.0009359485635224221
Oceania,Consumer Staples,Small Cap,0.0004340631019234421,0.0002984183825723665,0.0005836114050080027
Oceania,Energy,Large Cap,0.00013564471935107567,5.4257887740430265e-05,0.00021703155096172106
Oceania,Energy,Micro Cap,0.0005290144054691951,0.00037980521418301186,0.0007053525406255935
